customer_id,rewards_id,customer_firstname,customer_lastname,primary_billing_address,primary_billing_address2,customer_email,customer_phone,customer_city,customer_state,customer_zipcode,customer_country,customer_gender,customer_dob,marketing_optin,last_updated
1,sb1,John,Wick,4983 Wrong Way,,jwick@hotmail.com,4087900001,Santa Clara,CA,95050,USA,Male,1980-03-17,No,2014-09-19
2,sb2,Jane,Doe,495 Main Street,#305,jdoe@yahoo.com,4087900002,Santa Clara,CA,95050,USA,Female,1990-09-19,No,2017-02-10
3,sb3,Seymore,Harrison,9284 Springfield Avenue,,Seymore_coffee@outlook.com,4087900003,Santa Clara,CA,95051,USA,not provided,1999-06-10,Yes,2019-05-17
4,sb4,Jessica,Hernandez,958 King Road,,JessH@gmail.com,4087900004,San Jose,CA,95127,USA,Female,2001-07-11,Yes,2021-03-24
5,sb5,Erika,Garcia,4975 McKee Road,,airwreckuh@icloud.com,4087900005,San Jose,CA,95128,USA,Female,2009-08-29,No,2022-01-26
6,sb6,Barry,Bonds,24 Willie Mays Plaza,#24,bbonds@sfgaints.com,4087900006,San Francisco,CA,94107,USA,Male,1964-07-24,Yes,2007-10-01
7,sb7,Patrick,Star,349 Rocky Road,,pstar@bbottom.com,4087900007,Santa Clara,CA,95050,USA,not provided,1999-05-01,Yes,2020-03-19
8,sb8,Bob,Squarepants,9347 Pineapple Drive,,sbspants@bbottom.com,4087900008,Santa Clara,CA,95050,USA,not provided,1999-05-01,Yes,2020-03-19
9,sb9,Mindy,Patel,9487 University Drive,#208,mpatel@calst.edu,4087900009,Santa Clara,CA,95051,USA,Female,2002-02-22,No,2021-11-30
10,sb10,Martin,Jitters,593 Blossom Hill Road,,mrjitters@gmail.com,4087900010,San Jose,CA,95129,USA,Male,1984-11-17,No,2020-04-28
11,sb11,Cookie,Monster,123 Sesame Street,Apt 1,cookies@sesamest.com,4087900011,Santa Clara,CA,95054,USA,Male,1966-08-25,No,2018-08-25
12,sb12,Octavia,Donovan,947 Saratoga Road,,odo@ovo.com,4087900012,San Jose,CA,95126,USA,Female,1988-04-12,Yes,2016-09-09
13,sb13,Amy,Nguyen,4930 Story Road,,amyn@outlook.com,4087900013,San Jose,CA,95127,USA,Female,1992-01-30,No,2019-07-01
14,sb14,Warren,Chen,9487 University Drive,#209,wchen@icloud.com,4087900014,Santa Clara,CA,95054,USA,Male,1996-12-12,No,2021-12-22
15,sb15,Jeff,Bryant,583 Olympic Blvd,unit 8,kobeftw@gmail.com,4087900015,San Jose,CA,95126,USA,Male,1978-08-23,Yes,2020-01-25
